Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,9,1260,1008,99,0,198,810,54,1548,54,108
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,8,1120,896,88,0,176,720,48,1376,48,96
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,7,980,784,77,0,154,630,42,1204,42,84
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,6,840,672,66,0,132,540,36,1032,36,72
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,5,700,560,55,0,110,450,30,860,30,60
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,4,560,448,44,0,88,360,24,688,24,48
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,3,420,336,33,0,66,270,18,516,18,36
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,2,280,224,22,0,44,180,12,344,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc,1,140,112,11,0,22,90,6,172,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_timer,2,245,151,96,24,66,1,28,76,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_timer\inc,1,18,5,0,0,7,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_utils,4,101,44,24,5,28,2,29,64,24,48
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_utils\inc,2,33,7,0,0,14,2,12,28,12,24
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\inc,2,115,80,64,0,21,2,14,33,12,24
